# Pixel,Intensity
604,47720.0000
605,49348.0000
606,47978.0000
607,49341.0000
608,47646.0000
609,49290.0000
610,47066.0000
611,49551.0000
612,47270.0000
613,49249.0000
614,47675.0000
615,49703.0000
616,47969.0000
617,49415.0000
618,47570.0000
619,49599.0000
620,47229.0000
621,48954.0000
622,47719.0000
623,49061.0000
624,47429.0000
625,49418.0000
626,47363.0000
627,49201.0000
628,47120.0000
629,48978.0000
630,47389.0000
631,48991.0000
632,47860.0000
633,49010.0000
634,47479.0000
635,48792.0000
636,46999.0000
637,49194.0000
638,47075.0000
639,49459.0000
640,47438.0000
641,49089.0000
642,47237.0000
643,48911.0000
644,46947.0000
645,48935.0000
646,47164.0000
647,48630.0000
648,47009.0000
649,49007.0000
650,47293.0000
651,48614.0000
652,47319.0000
653,48656.0000
654,46717.0000
655,48812.0000
656,46655.0000
657,48875.0000
658,46578.0000
659,48894.0000
660,46784.0000
661,48659.0000
662,46631.0000
663,48421.0000
664,46849.0000
665,48830.0000
666,46609.0000
667,48753.0000
668,47068.0000
669,48198.0000
670,47149.0000
671,48716.0000
672,46804.0000
673,48476.0000
674,47135.0000
675,48222.0000
676,46880.0000
677,48368.0000
678,46656.0000
679,47913.0000
680,46593.0000
681,48414.0000
682,46824.0000
683,48274.0000
684,46646.0000
685,48234.0000
686,46625.0000
687,47930.0000
688,46307.0000
689,48271.0000
690,46885.0000
691,48500.0000
692,46463.0000
693,47791.0000
694,46385.0000
695,48194.0000
696,46192.0000
697,47937.0000
698,45999.0000
699,48132.0000
700,46161.0000
701,47810.0000
702,46070.0000
703,48477.0000
704,46286.0000
705,47992.0000
706,46139.0000
707,48297.0000
708,45924.0000
709,48175.0000
710,46238.0000
711,47893.0000
712,46640.0000
713,48268.0000
714,45975.0000
715,47481.0000
716,45666.0000
717,48046.0000
718,46192.0000
719,47927.0000
720,46094.0000
721,47779.0000
722,45899.0000
723,47806.0000
724,46357.0000
725,47863.0000
726,46387.0000
727,47745.0000
728,45893.0000
729,48016.0000
730,46163.0000
731,47871.0000
732,45612.0000
733,47702.0000
734,45972.0000
735,47825.0000
736,45713.0000
737,47386.0000
738,45713.0000
739,47610.0000
740,45786.0000
741,47266.0000
742,45803.0000
743,47668.0000
744,46047.0000
745,47147.0000
746,45469.0000
747,47515.0000
748,45750.0000
749,47371.0000
750,45841.0000
751,47020.0000
752,45361.0000
753,47713.0000
754,45855.0000
755,47226.0000
756,45416.0000
757,47602.0000
758,45836.0000
759,47321.0000
760,45499.0000
761,46896.0000
762,46263.0000
763,47256.0000
764,45554.0000
765,47125.0000
766,45686.0000
767,46871.0000
768,45414.0000
769,47115.0000
770,45674.0000
771,46709.0000
772,45465.0000
773,47201.0000
774,45225.0000
775,47343.0000
776,44804.0000
777,47544.0000
778,45442.0000
779,46942.0000
780,45421.0000
781,47062.0000
782,45286.0000
783,46671.0000
784,45609.0000
785,47332.0000
786,45781.0000
787,46901.0000
788,45089.0000
789,47330.0000
790,45316.0000
791,46830.0000
792,45318.0000
793,46984.0000
794,45305.0000
795,46820.0000
796,45015.0000
797,46717.0000
798,44810.0000
799,46742.0000
800,44870.0000
801,47013.0000
802,45218.0000
803,46519.0000
804,44991.0000
805,46529.0000
806,45028.0000
807,46913.0000
808,45125.0000
809,47155.0000
810,45162.0000
811,46880.0000
812,45294.0000
813,46476.0000
814,45355.0000
815,46639.0000
816,45524.0000
817,46629.0000
818,44764.0000
819,46639.0000
820,44741.0000
821,46670.0000
822,45304.0000
823,46656.0000
824,44487.0000
825,46238.0000
826,44537.0000
827,46416.0000
828,44380.0000
829,46449.0000
830,44899.0000
831,46568.0000
832,44668.0000
833,46310.0000
834,45046.0000
835,46829.0000
836,44896.0000
837,46378.0000
838,44455.0000
839,46673.0000
840,44832.0000
841,46228.0000
842,45211.0000
843,45929.0000
844,44824.0000
845,46222.0000
846,45274.0000
847,46373.0000
848,44566.0000
849,46256.0000
850,44937.0000
851,45943.0000
852,44884.0000
853,46187.0000
854,44650.0000
855,46282.0000
856,44349.0000
857,45886.0000
858,44793.0000
859,46011.0000
860,44373.0000
861,46258.0000
862,44253.0000
863,46248.0000
864,44353.0000
865,46022.0000
866,44223.0000
867,46634.0000
868,44624.0000
869,45770.0000
870,44567.0000
871,45913.0000
872,44623.0000
873,45854.0000
874,44739.0000
875,45757.0000
876,44346.0000
877,45657.0000
878,44713.0000
879,45643.0000
880,44108.0000
881,45965.0000
882,44416.0000
883,45808.0000
884,44233.0000
885,45526.0000
886,44172.0000
887,45808.0000
888,44104.0000
889,45696.0000
890,43829.0000
891,45430.0000
892,44046.0000
893,45510.0000
894,43782.0000
895,45606.0000
896,44205.0000
897,45637.0000
898,44107.0000
899,45997.0000
900,44023.0000
901,45354.0000
902,44146.0000
903,45027.0000
904,43876.0000
905,45419.0000
906,44167.0000
907,45713.0000
908,43607.0000
909,45446.0000
910,43885.0000
911,45059.0000
912,44022.0000
913,45769.0000
914,43925.0000
915,45000.0000
916,44267.0000
917,45791.0000
918,43708.0000
919,45736.0000
920,44402.0000
921,45615.0000
922,43769.0000
923,45318.0000
924,43452.0000
925,45571.0000
926,43581.0000
927,45414.0000
928,43819.0000
929,45506.0000
930,43579.0000
931,45318.0000
932,43911.0000
933,45559.0000
934,43319.0000
935,45143.0000
936,44017.0000
937,44997.0000
938,43485.0000
939,45129.0000
940,43907.0000
941,45480.0000
942,43558.0000
943,44960.0000
944,43978.0000
945,44727.0000
946,43712.0000
947,44809.0000
948,43764.0000
949,45405.0000
950,43615.0000
951,45180.0000
952,43642.0000
953,45110.0000
954,43618.0000
955,45115.0000
956,43378.0000
957,45163.0000
958,43765.0000
959,44565.0000
960,43069.0000
961,45219.0000
962,43093.0000
963,44982.0000
964,43096.0000
965,44748.0000
966,43553.0000
967,44902.0000
968,43683.0000
969,44636.0000
970,43224.0000
971,45158.0000
972,43453.0000
973,44503.0000
974,43060.0000
975,44734.0000
976,43185.0000
977,44918.0000
978,43211.0000
979,44906.0000
980,43777.0000
981,44468.0000
982,43285.0000
983,44945.0000
984,43263.0000
985,44444.0000
986,42952.0000
987,44730.0000
988,42884.0000
989,44585.0000
990,43248.0000
991,45038.0000
992,43557.0000
993,44886.0000
994,43114.0000
995,44232.0000
996,43245.0000
997,44540.0000
998,42925.0000
999,44857.0000
1000,42838.0000
1001,44264.0000
1002,42844.0000
1003,44864.0000
1004,43364.0000
1005,44479.0000
1006,43152.0000
1007,44654.0000
1008,42838.0000
1009,44402.0000
1010,42807.0000
1011,44286.0000
1012,43145.0000
1013,44629.0000
1014,43191.0000
1015,44269.0000
1016,42795.0000
1017,44734.0000
1018,43360.0000
1019,44709.0000
1020,42874.0000
1021,44051.0000
1022,43317.0000
1023,44050.0000
1024,42914.0000
1025,44637.0000
1026,43023.0000
1027,44184.0000
1028,42607.0000
1029,44585.0000
1030,42550.0000
1031,43961.0000
1032,42774.0000
1033,44167.0000
1034,42964.0000
1035,44305.0000
1036,42446.0000
1037,44119.0000
1038,42549.0000
1039,44130.0000
1040,42778.0000
1041,43917.0000
1042,42719.0000
1043,44380.0000
1044,42783.0000
1045,44263.0000
1046,42490.0000
1047,44307.0000
1048,42942.0000
1049,44037.0000
1050,42461.0000
1051,43941.0000
1052,42345.0000
1053,43925.0000
1054,42712.0000
1055,44062.0000
1056,43066.0000
1057,44460.0000
1058,42522.0000
1059,44448.0000
1060,42791.0000
1061,43707.0000
1062,42810.0000
1063,44315.0000
1064,42538.0000
1065,43797.0000
1066,42629.0000
1067,43847.0000
1068,42217.0000
1069,45091.0000
1070,42682.0000
1071,43976.0000
1072,42425.0000
1073,43988.0000
1074,42943.0000
1075,43819.0000
1076,42798.0000
1077,43836.0000
1078,42532.0000
1079,43827.0000
1080,42139.0000
1081,43829.0000
1082,42672.0000
1083,43974.0000
1084,42237.0000
1085,43807.0000
1086,42126.0000
1087,43976.0000
1088,42245.0000
1089,43630.0000
1090,42451.0000
1091,43697.0000
1092,42638.0000
1093,44186.0000
1094,42621.0000
1095,43753.0000
1096,41880.0000
1097,43785.0000
1098,42265.0000
1099,43484.0000
1100,42108.0000
1101,43782.0000
1102,42020.0000
1103,43390.0000
1104,42572.0000
1105,43438.0000
1106,42215.0000
1107,43720.0000
1108,41983.0000
1109,43810.0000
1110,42029.0000
1111,43327.0000
1112,42048.0000
1113,43867.0000
1114,42315.0000
1115,43122.0000
1116,42099.0000
1117,43208.0000
1118,41665.0000
1119,43363.0000
1120,42091.0000
1121,43439.0000
1122,42118.0000
1123,43644.0000
1124,41927.0000
1125,43705.0000
1126,41969.0000
1127,43301.0000
1128,41974.0000
1129,43255.0000
1130,42286.0000
1131,43394.0000
1132,42270.0000
1133,43347.0000
1134,41853.0000
1135,43269.0000
1136,41783.0000
1137,43485.0000
1138,41867.0000
1139,43280.0000
1140,41952.0000
1141,43031.0000
1142,41740.0000
1143,43777.0000
1144,42142.0000
1145,43284.0000
1146,41935.0000
1147,43168.0000
1148,41954.0000
1149,43105.0000
1150,41708.0000
1151,42973.0000
1152,42356.0000
1153,43503.0000
1154,42042.0000
1155,43146.0000
1156,42012.0000
1157,43328.0000
1158,41807.0000
1159,43207.0000
1160,42129.0000
1161,43068.0000
1162,42270.0000
1163,43119.0000
1164,41895.0000
1165,42958.0000
1166,41714.0000
1167,42883.0000
1168,41733.0000
1169,43213.0000
1170,41725.0000
1171,42453.0000
1172,41923.0000
1173,42948.0000
1174,41670.0000
1175,43304.0000
1176,41584.0000
1177,43445.0000
1178,41480.0000
1179,42841.0000
1180,41470.0000
1181,42804.0000
1182,41746.0000
1183,42840.0000
1184,41466.0000
1185,42881.0000
1186,41064.0000
1187,43231.0000
1188,41730.0000
1189,42795.0000
1190,41260.0000
1191,43352.0000
1192,41821.0000
1193,42815.0000
1194,41481.0000
1195,42850.0000
1196,41720.0000
1197,42528.0000
1198,41575.0000
1199,42740.0000
1200,41267.0000
1201,42766.0000
1202,41496.0000
1203,42687.0000
1204,41808.0000
1205,42273.0000
1206,41401.0000
1207,42452.0000
1208,41511.0000
1209,42918.0000
1210,41644.0000
1211,42140.0000
1212,41152.0000
1213,42925.0000
1214,41877.0000
1215,42840.0000
1216,41438.0000
1217,43056.0000
1218,41420.0000
1219,42594.0000
1220,41202.0000
1221,42683.0000
1222,41140.0000
1223,42070.0000
1224,41187.0000
1225,42267.0000
1226,41273.0000
1227,42234.0000
1228,41213.0000
1229,42279.0000
1230,41597.0000
1231,42484.0000
1232,41243.0000
1233,42452.0000
1234,40957.0000
1235,43122.0000
1236,40762.0000
1237,42891.0000
1238,41064.0000
1239,42434.0000
1240,41199.0000
1241,42323.0000
1242,41457.0000
1243,42480.0000
1244,41345.0000
1245,42435.0000
1246,40947.0000
1247,42372.0000
1248,41044.0000
1249,42902.0000
1250,40925.0000
1251,42341.0000
1252,41172.0000
1253,42266.0000
1254,40919.0000
1255,42310.0000
1256,41462.0000
1257,42322.0000
1258,40941.0000
1259,42305.0000
1260,41001.0000
1261,42267.0000
1262,41159.0000
1263,42264.0000
1264,41208.0000
1265,42032.0000
1266,40769.0000
1267,42517.0000
1268,41020.0000
1269,41954.0000
1270,40748.0000
1271,41970.0000
1272,40914.0000
1273,41702.0000
1274,41265.0000
1275,42076.0000
1276,40669.0000
1277,42249.0000
1278,41103.0000
1279,41850.0000
1280,41604.0000
1281,42196.0000
1282,41012.0000
1283,42273.0000
1284,40993.0000
1285,42138.0000
1286,41120.0000
1287,42276.0000
1288,40702.0000
1289,41874.0000
1290,41071.0000
1291,41804.0000
1292,40914.0000
1293,42437.0000
1294,40695.0000
1295,42277.0000
1296,40300.0000
1297,42065.0000
1298,41192.0000
1299,42135.0000
1300,40944.0000
1301,41904.0000
1302,40954.0000
1303,42084.0000
1304,40569.0000
1305,41938.0000
1306,40646.0000
1307,41801.0000
1308,40526.0000
1309,41854.0000
